year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2001","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3624507.14787839"
"2001","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63751.6108235658"
"2001","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65992.4495294607"
"2001","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","268292.020941126"
"2001","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2001","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2001","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","349659.221647401"
"2001","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2169651.52905704"
"2001","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","294202.777058897"
"2001","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88502.1907058932"
"2001","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","266492.848235468"
"2001","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9764927.14863462"
"2001","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1055357.19847054"
"2001","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8256303.55724713"
"2001","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6625388.92511008"
"2001","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","4017612.28938358"
"2001","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","270607.341882544"
"2001","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","230685.605294285"
"2001","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","266876.576470817"
"2001","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3090020.41304763"
"2001","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2276623.80988256"
"2001","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","453460.692353367"
"2001","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","172761.734823559"
"2001","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25309104.0238574"
"2001","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9743077.8797211"
"2001","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3519404.42187891"
"2001","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","367317.112941516"
"2001","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1197839.50517627"
"2001","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5519168.68763541"
"2001","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1674836.25141033"
"2001","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","700878.122471303"
"2001","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2680304.93223386"
"2001","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","874735.152000657"
"2001","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2113105.64329431"
"2002","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3621571.22011368"
"2002","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63741.3508235658"
"2002","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65981.8295294607"
"2002","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","266869.87517642"
"2002","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2002","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2002","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","347265.136941516"
"2002","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2153620.0242335"
"2002","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","294015.67411772"
"2002","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88420.5614117754"
"2002","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","266091.632823704"
"2002","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9747786.13051705"
"2002","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1049411.03682349"
"2002","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8222904.48912965"
"2002","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6616581.47322779"
"2002","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","4006200.95397183"
"2002","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","269773.009764896"
"2002","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","229523.171647225"
"2002","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","265903.77070611"
"2002","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3086006.91387118"
"2002","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2266860.21952963"
"2002","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","452959.398000425"
"2002","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","172545.288705911"
"2002","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25291703.0264459"
"2002","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9729034.13572123"
"2002","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3429158.76564416"
"2002","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","365482.177059161"
"2002","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1193417.13035274"
"2002","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5503064.16245905"
"2002","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1670991.93070444"
"2002","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","697923.018706593"
"2002","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2667886.49611622"
"2002","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","872730.712588894"
"2002","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2105414.66823549"
"2003","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3615809.32693721"
"2003","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63722.3608235658"
"2003","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65977.0595294607"
"2003","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","264495.030705831"
"2003","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2003","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2003","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","346070.12470622"
"2003","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2142750.77788056"
"2003","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293801.656588308"
"2003","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88344.964588246"
"2003","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","265778.353058997"
"2003","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9734025.13792889"
"2003","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1045041.08999996"
"2003","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8145626.54501281"
"2003","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6609567.62887488"
"2003","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3995777.02867771"
"2003","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","269162.001529601"
"2003","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","229046.264823695"
"2003","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","265371.968823757"
"2003","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3084751.15410648"
"2003","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2260540.6549414"
"2003","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","452672.840118072"
"2003","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","172184.212235323"
"2003","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25278177.4247991"
"2003","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9719284.32136844"
"2003","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3389182.08599753"
"2003","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","363780.467647395"
"2003","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1190975.6519998"
"2003","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5491170.37269441"
"2003","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1664819.26729268"
"2003","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","696259.909412473"
"2003","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2660853.67693975"
"2003","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","871581.58905948"
"2003","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2092517.77694137"
"2004","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3610221.29081956"
"2004","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63721.1908235658"
"2004","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65921.5309412254"
"2004","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","260046.12670583"
"2004","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2004","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2004","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","343984.914706218"
"2004","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2097248.90929233"
"2004","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293651.536588308"
"2004","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88139.0495294223"
"2004","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","265240.378588409"
"2004","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9699888.74216436"
"2004","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1034078.60823526"
"2004","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8088976.08877765"
"2004","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6594624.97475731"
"2004","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3972897.38820711"
"2004","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","265620.458823714"
"2004","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","228264.824470753"
"2004","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","264278.109882579"
"2004","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3082568.76669474"
"2004","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2255547.69211789"
"2004","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","452183.240118071"
"2004","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","172006.645764735"
"2004","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25264128.1611523"
"2004","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9705198.21948629"
"2004","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3196499.14517529"
"2004","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","360964.5554121"
"2004","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1185219.11717628"
"2004","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5469679.78940039"
"2004","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1645615.05035149"
"2004","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","692955.858706586"
"2004","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2646542.5457633"
"2004","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","868109.431765364"
"2004","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2064920.72717666"
"2005","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3600450.39105485"
"2005","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63709.9408235658"
"2005","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65905.3337647548"
"2005","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","257910.64270583"
"2005","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2005","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2005","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","342520.676470922"
"2005","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2057222.05764535"
"2005","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293586.916588308"
"2005","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88078.0094117752"
"2005","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","265047.870000173"
"2005","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9661424.92581151"
"2005","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1028247.25517644"
"2005","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8025723.21066018"
"2005","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6578179.68346326"
"2005","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3953653.16361892"
"2005","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","262922.544000181"
"2005","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","225712.116000163"
"2005","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","263850.167294343"
"2005","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3081033.10340064"
"2005","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2252767.15200025"
"2005","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","451815.86011807"
"2005","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","171673.110352969"
"2005","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25251558.6570348"
"2005","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9697874.60819227"
"2005","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","2982274.11105802"
"2005","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","358879.842353274"
"2005","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1181602.84270569"
"2005","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5458926.52763574"
"2005","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1638313.57941032"
"2005","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","691276.938706584"
"2005","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2629546.60588097"
"2005","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","865489.580118305"
"2005","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2026146.69847076"
"2006","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3590367.60423131"
"2006","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63674.2108235657"
"2006","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65904.3187059312"
"2006","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","256110.547764654"
"2006","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2006","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2006","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","340874.841882685"
"2006","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2011872.51741004"
"2006","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293451.224823602"
"2006","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","87974.0594117752"
"2006","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","264491.678470761"
"2006","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9601110.26957639"
"2006","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1015017.2668235"
"2006","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","7947360.40724847"
"2006","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6549696.88087513"
"2006","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3936337.74173656"
"2006","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","258840.905294293"
"2006","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","224052.823058984"
"2006","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","263201.90258846"
"2006","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3076255.86457714"
"2006","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2245550.29200029"
"2006","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","451487.63011807"
"2006","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","171263.072117675"
"2006","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25235346.8469174"
"2006","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9687349.43854536"
"2006","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","2848592.99929365"
"2006","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","356414.460706216"
"2006","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1177014.78317628"
"2006","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5442521.0812829"
"2006","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1621382.44341032"
"2006","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","689271.865059522"
"2006","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2606752.82611645"
"2006","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","859538.555647718"
"2006","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2000017.92352957"
"2007","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3582445.91752545"
"2007","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63657.6508235657"
"2007","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65892.9924706371"
"2007","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","254031.688588182"
"2007","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2007","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2007","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","339560.493882684"
"2007","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","1953548.37952785"
"2007","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293243.596588308"
"2007","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","87859.2194117751"
"2007","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","264006.083647231"
"2007","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9542633.82028239"
"2007","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1005276.70447056"
"2007","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","7761632.30183714"
"2007","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6529506.5060517"
"2007","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3920019.75032482"
"2007","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","255449.561294288"
"2007","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","223153.624588395"
"2007","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","262779.524470812"
"2007","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3074791.75445951"
"2007","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2243265.54423559"
"2007","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","451149.772235716"
"2007","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","170992.894941204"
"2007","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","25217853.6930352"
"2007","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9680246.02936897"
"2007","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","2730230.66964678"
"2007","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","355566.406941511"
"2007","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","1174768.37894099"
"2007","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5431742.35904766"
"2007","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1617129.93211619"
"2007","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","687551.000471284"
"2007","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2586736.66905771"
"2007","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","856702.684588891"
"2007","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","1983544.86317663"
"2008","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3561400.31258426"
"2008","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63656.1208235657"
"2008","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65889.9324706371"
"2008","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","251778.09423524"
"2008","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2008","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2008","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","339180.80364739"
"2008","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","1901384.2231751"
"2008","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","292999.79329419"
"2008","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","87828.2597647163"
"2008","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","263742.211764878"
